last_name,korean
Herget,허겟
Hernaiz,에르나이즈
Hernandez,에르난데스
Herrera,에레라
Herrin,헤린
Herz,허츠
Hicks,힉스
Higashioka,히가시오카
Hill,힐
Hilliard,힐리어드
Hodge,호지
Hoeing,호잉
Hoerner,호너
Hoffman,호프만
Hoffmann,호프만
Hoglund,호글랜드
Holderman,홀더맨
Holliday,홀리데이
Holmes,홈즈
Holton,홀튼
Hong,홍
Horn,혼
Horton,호튼
Horwitz,호위츠
Houck,하우크
House,하우스
Houser,하우저
Hudson,허드슨
Hurter,허터
Hwang,황
Hyun,현
Ibanez,이바네즈
Iglesias,이글레시아스
Im,임
Imai,이마이
Imanaga,이마나가
India,인디아
Irvin,어빈
Isbel,이즈벨
Jackson,잭슨
Jang,장
Jansen,잰슨
Javier,하비에르
Jax,잭스
Je,제
Jeffers,제퍼스
Jensen,젠센
Jeon,전
Jeong,정
Ji,지
Jimenez,히메네즈
Jin,진
Jobe,조브
Johnson,존슨
Johnston,존스턴
Jones,존스
Joo,주
Joyce,조이스
Judge,저지
Julien,줄리엔
Jung,정
Junis,준니스
Junk,정크
Jurado,후라도
Kanakubo,카나쿠보
Kang,강
Karros,캐로스
Kay,케이
Kayfus,케이퍼스
Keaschall,키스칼
Keith,키스
Keller,켈러
Kelly,켈리
Kemp,켐프
Kent,켄트
Kerkering,커커링
Kikuchi,키쿠치
Kilian,킬리안
Kim,김
Kiner-Falefa,카이너-팔레파
King,킹
Kingery,킹어리
Kinley,킨리
Kirby,커비
Kirk,커크
Kittredge,키트리지
Kjerstad,케르스타드
Klein,클라인
Knack,낵
Ko,고
Kochanowicz,코차노비치
Koenig,코닉
Koki,코키
Kolek,콜렉
Koo,구
Koss,코스
Kremer,크레머
Kurtz,커츠
Kwak,곽
Kwan,관
Kwon,권
Lange,랭
Langeliers,랑겔리어스
Langford,랭포드
Larnach,라낙
Latz,라츠
Lauer,라우어
Laureano,라우레아노
Laweryson,로워리슨
Lawlar,롤러
Lawrence,로렌스
Lazar,레이저
Leahy,레이히
Leasure,레저
Lee,이
Legumina,레구미나
Leiter,라이터
Leiter Jr.,라이터 주니어
Lewis,루이스
Liberatore,리베라토어
Lile,라일
Lim,임
Lindor,린도어
Littell,리텔
Little,리틀
Loaisiga,로아이시가
Locklear,록클리어
Lockridge,록크리지
Lodolo,로돌로
Loftin,로프틴
Logue,로그
Loperfido,로퍼피도
Lopez,로페즈
Lord,로드
Lorenzen,로렌젠
Lovelady,러블레이디
Lowder,라우더
Lowe,로우
Lucchesi,루케시
Lugo,루고
Lukes,루크스
Lux,럭스
Luzardo,루자르도
Machado,마차도
Mahle,말리
Manaea,마나에아
Mangum,맹검
Manoah,마노아
Manzardo,만자도
Marchan,마르찬
Marinaccio,마리나치오
Marquez,마르케즈
Marsee,마시
Marsh,마쉬
Marte,마르테
Martin,마틴
Martinez,마르티네즈
Masaya,마사야
Massey,매시
Mastrobuoni,마스트로부오니
Mateo,마테오
Maton,메이튼
Matsui,마쓰이
Matthews,매튜스
Mattson,맷슨
Matz,매츠
May,메이
Mayer,메이어
Mayo,메이요
Mayza,메이자
Mazur,마주어
McArthur,맥아더
McCann,맥캔
McCarthy,맥카시
McClanahan,맥클라나한
McCormick,맥코믹
McCullers Jr.,맥컬러스 주니어
McCutchen,맥커친
McGonigle,맥고니글
McGreevy,맥그리비
McGuire,맥과이어
McKinstry,맥킨스트리
McLain,맥클레인
McLean,맥클레인
McMahon,맥마혼
McNeil,맥닐
Mead,미드
Meadows,메도우즈
Mears,미어스
Medina,메디나
Megill,메길
Meidroth,마이도스
Mejia,메히아
Melton,멜튼
Mena,메나
Merrill,메릴
Messick,메식
Meyer,마이어
Meyers,마이어스
Mikolas,마이콜라스
Miles,마일스
Millas,밀라스
Miller,밀러
Milner,밀너
Minter,민터
