first_name,korean
Heon,헌
Heon-min,헌민
Heriberto,에리베르토
Heston,헤스턴
Him-chan,힘찬
Ho-beom,호범
Ho-cheol,호철
Ho-jeong,호정
Ho-jin,호진
Ho-joon,호준
Ho-jun,호준
Ho-min,호민
Ho-ryung,호령
Ho-seong,호성
Ho-yeon,호연
Ho-young,호영
Hoby,호비
Hogan,호건
Huascar,우아스카
Hun-gon,훈곤
Hunter,헌터
Hurston,허스턴
Hwa-jung,화중
Hwan-yoo,환유
Hwi-gun,휘건
Hwi-jip,휘집
Hwi-yeon,휘연
Hwi-yoon,휘윤
Hye-seong,혜성
Hyeon,현
Hyeon-jae,현재
Hyeon-min,현민
Hyeon-sang,현상
Hyeon-seok,현석
Hyeong-jun,형준
Hyeseong,혜성
Hyo-jong,효종
Hyo-sang,효상
Hyo-seung,효승
Hyo-won,효원
Hyuk-bin,혁빈
Hyun,현
Hyun-bin,현빈
Hyun-chang,현창
Hyun-chul,현철
Hyun-gon,현곤
Hyun-hee,현희
Hyun-in,현인
Hyun-jae,현재
Hyun-jin,현진
Hyun-jong,현종
Hyun-joon,현준
Hyun-jun,현준
Hyun-ki,현기
Hyun-kyu,현규
Hyun-min,현민
Hyun-seo,현서
Hyun-seok,현석
Hyun-seung,현승
Hyun-shik,현식
Hyun-soo,현수
Hyun-won,현원
Hyun-woo,현우
Hyung-bum,형범
Hyung-chan,형찬
Hyung-jong,형종
Hyung-min,형민
Hyung-woo,형우
Ian,이안
Ichiro,이치로
Ildemaro,일데마로
In-beom,인범
In-han,인한
In-ho,인호
In-hyuk,인혁
In-san,인산
In-seo,인서
In-tae,인태
In-woo,인우
Isaac,이삭
Isiah,아이재아
Ivan,이반
J.B.,J.B.
J.C.,J.C.
J.P.,J.P.
J.T.,J.T.
Ja-wook,자욱
Jac,잭
Jack,잭
Jackson,잭슨
Jacob,제이콥
Jaden,제이든
Jae-gyu,재규
Jae-hak,재학
Jae-hee,재희
Jae-hoon,재훈
Jae-hwan,재환
Jae-hyuk,재혁
Jae-hyun,재현
Jae-ik,재익
Jae-in,재인
Jae-joon,재준
Jae-min,재민
Jae-moon,재문
Jae-sang,재상
Jae-seok,재석
Jae-seung,재승
Jae-sung,재성
Jae-won,재원
Jae-woo,재우
Jae-woong,재웅
Jae-yeol,재열
Jae-yeon,재연
Jae-yeop,재엽
Jae-yool,재율
Jae-yoon,재윤
Jae-young,재영
Jahmai,자마이
Jake,제이크
Jakob,제이콥
Jalen,자렌
James,제임스
Jameson,제임슨
Jang-han,장한
Jang-min,장민
Jang-yoon,장윤
Janson,얀손
Jared,재러드
Jarren,자렌
Jarryd,재리드
Jason,제이슨
Jasson,제이슨
Javier,하비에르
Jayden,제이든
Jazz,재즈
Je-mo,제모
Je-sung,제성
Jedixson,제딕슨
Jeff,제프
Jeffrey,제프리
Jeimer,제이머
Jeong,정
Jeong-an,정안
Jeong-bin,정빈
Jeong-gyun,정균
Jeong-hyun,정현
Jeong-min,정민
Jeong-woo,정우
Jeong-woon,정운
Jeong-yeop,정엽
Jeong-yul,정율
